name,price,above_100,first_name,last_name
William Dixon,109.0372796,True,William,Dixon
Kristen Horn,262.5246522,True,Kristen,Horn
Kimberly Chang,187.0072583,True,Kimberly,Chang
Mary Ball,283.1746476,True,Mary,Ball
Benjamin Craig,143.8715817,True,Benjamin,Craig
Cathy Werner,61.50899135,False,Cathy,Werner
Brandon Bell,48.6373091,False,Brandon,Bell
Paul Farley,12.38946479,False,Paul,Farley
Sarah Mcdaniel,151.5954472,True,Sarah,Mcdaniel
Caroline Anderson,75.62152103,False,Caroline,Anderson
Carl Jones,147.0294047,True,Carl,Jones
Scott Lee,244.1856527,True,Scott,Lee
Kaylee Coleman,17.86427032,False,Kaylee,Coleman
Charles Parker,215.537283,True,Charles,Parker
Susan Hess,38.35997063,False,Susan,Hess
Kiara Collier,204.1825486,True,Kiara,Collier
Mr. Scott Martinez,165.8514289,True,Scott,Martinez
Christopher Ortega,30.30144506,False,Christopher,Ortega
Michael Russell,243.1724911,True,Michael,Russell
Dwayne Johnson,287.4932856,True,Dwayne,Johnson
Patty Smith,180.2344257,True,Patty,Smith
Deanna Sherman,99.79911842,False,Deanna,Sherman
Douglas Francis,161.7688908,True,Douglas,Francis
Vicki Diaz,18.64987672,False,Vicki,Diaz
Robin Phillips,244.9119836,True,Robin,Phillips
Travis Rice,141.4988254,True,Travis,Rice
Ashley Rocha,50.00303731,False,Ashley,Rocha
Sarah Jacobson,80.48182457,False,Sarah,Jacobson
Kayla Shannon,98.91531394,False,Kayla,Shannon
Sean Wang DDS,220.6282177,True,Sean,Wang
Richard Estrada,49.16869151,False,Richard,Estrada
Joseph Torres,150.1237842,True,Joseph,Torres
Kim Jones,18.8434377,False,Kim,Jones
Melissa Tanner,269.1840299,True,Melissa,Tanner
Jackson Cline,64.31251721,False,Jackson,Cline
Sonya Foster,296.2155012,True,Sonya,Foster
Allen Williams,15.3908317,False,Allen,Williams
Mr. Thomas Rivera,95.22843716,False,Thomas,Rivera
Jamie Silva,296.8244075,True,Jamie,Silva
Kathleen Moore,92.50052419,False,Kathleen,Moore
Evelyn Pineda,169.2289293,True,Evelyn,Pineda
Kyle Peters,106.7990952,True,Kyle,Peters
Anthony Cruz,49.10199817,False,Anthony,Cruz
Eric Flores,122.9556986,True,Eric,Flores
Anna Richardson,254.4952606,True,Anna,Richardson
Gary Harper,47.59652592,False,Gary,Harper
Linda Johnson,115.3627815,True,Linda,Johnson
Melissa Smith,87.97994846,False,Melissa,Smith
Kristen Floyd,135.0230413,True,Kristen,Floyd
William Diaz,192.1491355,True,William,Diaz
Benjamin Smith,134.9052939,True,Benjamin,Smith
David Glenn,216.2910463,True,David,Glenn
Dawn Jones,271.6144999,True,Dawn,Jones
Joel Smith,14.4949198,False,Joel,Smith
Mr. Larry Grimes MD,268.6758682,True,Larry,Grimes
Joseph Arnold,121.7750468,True,Joseph,Arnold
Kyle Long,241.6216391,True,Kyle,Long
Brittany Day,261.5460574,True,Brittany,Day
Bobby Ward,63.5130358,False,Bobby,Ward
Thomas Lee,254.0755771,True,Thomas,Lee
Jennifer Hansen,101.4887352,True,Jennifer,Hansen
Lisa Murray,176.0919174,True,Lisa,Murray
Meghan Wade,273.2303409,True,Meghan,Wade
Tammie Brooks,84.88856949,False,Tammie,Brooks
Maria Bell,264.0746652,True,Maria,Bell
Allison Livingston,130.3484426,True,Allison,Livingston
Chris Hays,17.34276379,False,Chris,Hays
Courtney Mitchell,78.93257699,False,Courtney,Mitchell
Shawn White,188.0219256,True,Shawn,White
Taylor Gomez,225.0198237,True,Taylor,Gomez
